Conner	85.94361332991187
Board	76.10941774392445
then-husband	69.80913745553592
appointed	65.09842719003883
dropped	28.759567741070327
improperly	18.991838744905202
commission	13.922986061663908
charges	13.649098107693597
Lottery	11.322770161491926
Patton	10.80482706995707
Seth	9.31743659196581
Agriculture	9.182703997995654
Development	8.350525869245148
Kentucky	8.178002308777446
that	7.215933206205646
to	3.4688087943327197
he	3.096559721876532
The	2.7551758592798685
the	2.6138188365074306
's	2.4209999352900122
,	2.4119719019749124
and	1.7976764027280803
.	0.7906729971529243
ROOT	0.6931480444441849
