difficult	73.05377876401069
Party	36.04667926972292
came	27.376300733058194
identify	24.667277907523598
people	12.89795129599387
Earlier	8.316916812595455
polling	7.989494411494159
British	6.621218555876947
it	5.999184094842753
National	5.971134170568037
very	5.246143925999415
them	4.449476618455691
when	4.133973045560702
would	3.8618364936377803
to	3.4748057446773584
from	3.3211055685125865
be	3.2675806909827894
,	2.4063026209625638
the	1.295286022295937
.	0.7826981165216731
ROOT	0.6931471805599453
