nmod:poss	party	My
nsubj	reservations	party
aux	reservations	has
amod	reservations	serious
root	ROOT	reservations
case	regulation	about
det	regulation	the
nmod:about	reservations	regulation
case	sale	of
det	sale	the
nmod:of	regulation	sale
case	goods	of
compound	goods	consumer
nmod:of	sale	goods
case	legislation	through
compound	legislation	Community
nmod:through	sale	legislation
punct	reservations	,
mark	expresses	as
nsubj	expresses	it
advcl	reservations	expresses
dobj	expresses	reservations
case	concept	about
det	concept	the
nmod:about	reservations	concept
case	recognition	of
amod	recognition	mutual
nmod:of	concept	recognition
case	standards	of
nmod:of	recognition	standards
punct	reservations	.
