root	ROOT	Faced
case	criticisms	with
nmod:with	Faced	criticisms
punct	Faced	,
advmod	those	particularly
nmod	Faced	those
case	Ireland	of
nmod:of	those	Ireland
cc	Ireland	and
conj:and	Ireland	France
punct	given	,
det	Chancellor	the
compound	Chancellor	British
nsubj	given	Chancellor
case	Exchequer	of
det	Exchequer	the
nmod:of	Chancellor	Exchequer
aux	given	has
dep	those	given
det	interpretation	a
amod	interpretation	new
dobj	given	interpretation
punct	given	:
nsubj	matter	it
cop	matter	is
advmod	matter	now
det	matter	a
parataxis	given	matter
case	resources	of
nmod:of	matter	resources
case	users	for
det	users	all
nmod:for	matter	users
punct	users	,
case	drivers	including
det	drivers	the
nmod:including	users	drivers
case	vehicles	of
amod	vehicles	heavy
compound	vehicles	goods
nmod:of	drivers	vehicles
punct	Faced	.
