compound	President	Mr
nsubj	know	President
punct	know	,
nsubj	know	we
aux	know	can
neg	know	not
root	ROOT	know
det	position	the
nsubj	has	position
case	Commission	of
det	Commission	the
nmod:of	position	Commission
case	matter	in
det	matter	the
nmod:in	position	matter
case	access	of
amod	access	public
nmod:of	matter	access
case	documents	to
nmod:to	access	documents
mark	reading	in
acl	position	reading
det	Commission	the
dobj	reading	Commission
ccomp	know	has
nsubjpass	postponed	that
aux	postponed	has
auxpass	postponed	been
ccomp	has	postponed
punct	postponed	,
case	October	on
nummod	October	11
nmod:on	postponed	October
punct	postponed	,
det	officials	the
dobj	postponed	officials
case	Commission	of
det	Commission	the
nmod:of	officials	Commission
mark	explain	in
mwe	in	order
mark	explain	to
acl	officials	explain
det	way	the
dobj	explain	way
case	which	in
nmod:in	had	which
nsubj	had	they
acl:relcl	way	had
mark	deal	to
xcomp	had	deal
case	requests	with
det	requests	the
nmod:with	deal	requests
case	regard	in
det	regard	this
nmod:in	requests	regard
dep	regard	access
case	documents	to
nmod:to	access	documents
punct	know	.
