compound	President	Mr
nsubj	know	President
punct	know	,
nsubj	know	we
root	ROOT	know
det	position	the
dobj	know	position
case	Commission	of
det	Commission	the
nmod:of	position	Commission
case	access	on
amod	access	public
nmod:on	position	access
case	documents	to
nmod:to	access	documents
case	manual	in
det	manual	the
amod	manual	internal
nmod:in	access	manual
punct	manual	,
nsubjpass	submitted	which
auxpass	submitted	was
acl:relcl	manual	submitted
case	October	on
nummod	October	11
nmod:on	submitted	October
punct	manual	,
det	Commission	the
nmod:poss	officials	Commission
case	Commission	's
appos	manual	officials
case	order	in
nmod:in	officials	order
mark	explain	to
acl	officials	explain
advmod	handle	how
mark	handle	to
ccomp	explain	handle
dobj	handle	applications
case	Members	by
nmod:by	handle	Members
mark	regards	as
advcl	handle	regards
dobj	regards	access
case	documents	to
nmod:to	access	documents
punct	know	.
