nmod:poss	government	My
nsubj	has	government
ccomp	said	has
det	commitment	a
amod	commitment	strong
dobj	has	commitment
case	people	to
det	people	the
amod	people	Mexican
nmod:to	commitment	people
mark	reduce	to
acl	commitment	reduce
dobj	reduce	violence
punct	said	,
root	ROOT	said
compound	Nieto	Mr.
compound	Nieto	Peña
nsubj	said	Nieto
punct	Nieto	,
compound	Obama	US
compound	Obama	President
compound	Obama	Barack
appos	Nieto	Obama
punct	Nieto	,
case	Office	at
det	Office	the
compound	Office	Oval
nmod:at	said	Office
advmod	week	earlier
det	week	this
nmod:tmod	Office	week
punct	said	.
